,pickup_year,pickup_month,pickup_day,pickup_dayofweek,pickup_time,pickup_location_code,dropoff_location_code,trip_distance,trip_length,fare_amount,fees_amount,tolls_amount,tip_amount,total_amount,payment_type
59,2016,1,1,5,2,3,3,1.90,459,8.00,0.80,0.00,0.00,8.80,2
60,2016,1,1,5,2,2,4,18.91,1419,52.00,0.80,0.00,10.56,63.36,1
61,2016,1,1,5,2,3,1,11.99,1246,34.00,0.80,0.00,6.96,41.76,1
62,2016,1,1,5,2,2,1,13.20,1888,39.50,0.80,0.00,0.00,40.30,2
63,2016,1,1,5,2,3,6,16.34,2106,44.50,0.80,0.00,0.00,45.30,2
64,2016,1,1,5,2,3,1,11.22,1287,32.00,0.80,0.00,6.56,39.36,1
65,2016,1,1,5,2,2,1,13.69,1547,39.00,0.80,0.00,7.96,47.76,1
66,2016,1,1,5,2,3,4,10.10,1068,28.50,0.80,5.54,7.50,42.34,1
67,2016,1,1,5,2,4,2,17.90,1899,52.00,0.80,0.00,0.00,52.80,2
68,2016,1,1,5,2,2,1,20.05,1539,53.00,0.80,0.00,0.00,53.80,1
69,2016,1,1,5,2,4,2,17.64,1447,52.00,0.80,5.54,0.00,58.34,2
70,2016,1,1,5,2,3,0,9.09,1010,26.00,0.80,5.54,6.47,38.81,1
71,2016,1,1,5,2,4,3,11.70,973,32.50,0.80,5.54,0.00,38.84,2
72,2016,1,1,5,2,3,4,11.27,1149,32.00,0.80,0.00,2.00,34.80,1
73,2016,1,1,5,2,3,1,6.88,1134,21.50,0.80,0.00,4.46,26.76,1
74,2016,1,1,5,2,3,4,9.10,1010,26.50,0.80,5.54,0.00,32.84,2
75,2016,1,1,5,2,2,4,18.15,2051,52.00,0.80,0.00,0.00,52.80,2
76,2016,1,1,5,2,4,2,21.06,1953,52.00,0.80,0.00,15.00,67.80,1
77,2016,1,1,5,2,4,2,16.87,1452,52.00,0.80,0.00,2.00,54.80,1
78,2016,1,1,5,2,4,2,17.09,1427,52.00,0.80,5.54,0.00,58.34,2
79,2016,1,1,5,2,2,6,15.25,1278,41.50,0.80,0.00,0.00,42.30,2
80,2016,1,1,5,2,3,0,8.15,829,23.00,0.80,5.54,0.00,29.34,2
81,2016,1,1,5,2,3,4,10.42,987,29.00,0.80,5.54,7.07,42.41,1
82,2016,1,1,5,2,3,0,10.11,1048,29.00,0.80,5.54,0.00,35.34,2
83,2016,1,1,5,2,4,3,6.94,744,20.50,0.80,5.54,0.00,26.84,2
84,2016,1,1,5,2,2,6,3.36,513,12.00,0.80,0.00,0.00,12.80,2
85,2016,1,1,5,2,3,6,3.80,754,14.00,0.80,0.00,4.40,19.20,1
86,2016,1,1,5,2,4,2,20.26,1710,52.00,0.80,5.54,0.00,58.34,1
87,2016,1,1,5,2,3,4,11.32,956,31.00,0.80,5.54,5.00,42.34,1
88,2016,1,1,5,2,6,3,5.22,772,16.50,0.80,0.00,2.00,19.30,1
89,2016,1,1,5,2,3,4,9.39,1047,27.00,0.80,5.54,0.00,33.34,2
90,2016,1,1,5,2,4,3,9.83,995,28.00,0.80,5.54,0.00,34.34,2
91,2016,1,1,5,2,2,2,0.00,56,52.00,0.80,0.00,0.00,52.80,2
92,2016,1,1,5,3,4,3,11.28,1091,31.50,0.80,5.54,7.57,45.41,1
93,2016,1,1,5,3,2,4,18.15,2498,52.00,0.80,5.54,0.00,58.34,2
94,2016,1,1,5,3,2,4,20.17,1943,52.00,0.80,5.54,0.00,58.34,2
95,2016,1,1,5,3,2,4,20.70,2080,52.00,0.80,5.54,7.00,65.34,1
96,2016,1,1,5,3,4,2,15.69,1323,52.00,0.80,5.54,7.00,65.34,1
97,2016,1,1,5,3,2,6,15.05,1285,41.00,0.80,0.00,0.00,41.80,2
98,2016,1,1,5,3,4,3,9.40,1020,27.50,0.80,5.54,0.00,33.84,2
99,2016,1,1,5,3,2,4,20.91,1744,52.00,0.80,5.54,0.00,58.34,2
